id_libro,titulo,autor,genero,calificacion,image_url
1,25th Hour,David Benioff,Drama,4.8,images/downloaded_image_1.jpg
2,Un Mar de Enredos,Rob Greenberg,Comedia,4.7,images/downloaded_image_2.jpg
3,Horizonte Final,Paul W. S. Anderson,Ciencia Ficción,4.9,images/downloaded_image_3.jpg
4,Enders Game,Orson Scott Card,Ciencia Ficción,4.6,images/downloaded_image_4.jpg
5,August Underground s Penance, Fred Vogel,Terror,4.4,images/downloaded_image_5.jpg
6,La autopsia de Jane Doe,André Ovredal,Terror,4.8,images/downloaded_image_6.jpg
7,Back By Midnight,Harry Basil,Comedia,4.5,images/downloaded_image_7.jpg
8,Invasión del mundo: batalla Los Ángeles,Jonathan Liebesman,Ciencia Ficción,4.7,images/downloaded_image_8.jpg
9,Beijing Bastards,Zhang Yuan,Drama,4.8,images/downloaded_image_9.jpg
10,Más fuertes que su amor,Sam Wood,Drama,4.9,images/downloaded_image_10.jpg
11,Aliens: Bug Hunt,Jonathan Maberry,Terror,4.6,images/downloaded_image_11.jpg
12,Bungee Jumping,Go Eun Nim,Drama,4.9,images/downloaded_image_12.jpg
13,Of the Devil,Kelton Jones,Terror,4.8,images/downloaded_image_13.jpg
14,Crucifijo,Glenn Kendrick Ackermann,Terror,4.7,images/downloaded_image_14.jpg
15,Compañera Perfecta,Zach Cregger,Drama,4.7,images/downloaded_image_15.jpg
16,Sonic 3: La Película,Jeff Fowler,Aventura,4.5,images/downloaded_image_16.jpg
17,Mufasa: El Rey León,Barry Jenkins,Aventura,4.4,images/downloaded_image_17.jpg
18,El Brutalista,Brady Corbet,Drama,4.8,images/downloaded_image_18.jpg
19,Flow,Gints Zilbalodis,Aventura,4.5,images/downloaded_image_19.jpg
20,La sociedad de la nieve,Juan Antonio Bayona,Aventura,4.6,images/downloaded_image_20.jpg
21,Venom: El último baile,Kelly Marcel,Ciencia Ficción,4.7,images/downloaded_image_21.jpg
22,Rápidos y furiosos 10, Louis Leterrier,Acción,4.4,images/downloaded_image_22.jpg
23,Top Gun: Maverick,Joseph Kosinski,Acción,4.5,images/downloaded_image_23.jpg
24,Terrifier 3: Payaso Siniestro,Damien Leone,Terror,4.6,images/downloaded_image_24.jpg
25,John Wick 4,Chad Stahelski,Acción,4.8,images/downloaded_image_25.jpg
26,Jurassic World: Dominio,Colin Trevorrow,Ciencia Ficción,4.7,images/downloaded_image_26.jpg
27,Transformers: el despertar de las bestias,Steven Caple Jr.,Acción,4.6,images/downloaded_image_27.jpg
28,Con Todos Menos Contigo,Will Gluck,Comedia,4.9,images/downloaded_image_28.jpg
29,Un vecino gruñón,Andrzej Sapkowski,Aventura,4.8,images/downloaded_image_29.jpg
30,De vuelta a la acción,Seth Gordon,Crecimiento Personal,4.5,images/downloaded_image_30.jpg
31,Culpa mía,Domingo González,Drama,4.6,images/downloaded_image_31.jpg
32,A través de tu mirada,Marçal Forès,Comedia,4.7,images/downloaded_image_32.jpg
33,After Para Siempre,Castille Landon,Comedia,4.8,images/downloaded_image_33.jpg
34,El Triangulo de la Tristeza,Ruben Östlund,Comedia,4.9,images/downloaded_image_34.jpg
35,Free Guy: tomando el control,Shawn Levy,Comedia,4.5,images/downloaded_image_35.jpg
